observation_date,DEXUSAL
2002-01-01,0.5072
2002-02-01,0.5167
2002-03-01,0.5333
2002-04-01,0.5372
2002-05-01,0.5660
2002-06-01,0.5628
2002-07-01,0.5445
2002-08-01,0.5495
2002-09-01,0.5429
2002-10-01,0.5548
2002-11-01,0.5601
2002-12-01,0.5625
2003-01-01,0.5860
2003-02-01,0.6075
2003-03-01,0.6045
2003-04-01,0.6262
2003-05-01,0.6513
2003-06-01,0.6713
2003-07-01,0.6474
2003-08-01,0.6490
2003-09-01,0.6797
2003-10-01,0.7077
2003-11-01,0.7236
2003-12-01,0.7520
2004-01-01,0.7625
2004-02-01,0.7717
2004-03-01,0.7620
2004-04-01,0.7210
2004-05-01,0.7138
2004-06-01,0.6952
2004-07-01,0.7035
2004-08-01,0.7071
2004-09-01,0.7244
2004-10-01,0.7468
2004-11-01,0.7723
2004-12-01,0.7805
2005-01-01,0.7759
2005-02-01,0.7940
2005-03-01,0.7729
2005-04-01,0.7834
2005-05-01,0.7591
2005-06-01,0.7618
2005-07-01,0.7594
2005-08-01,0.7514
2005-09-01,0.7643
2005-10-01,0.7480
2005-11-01,0.7394
2005-12-01,0.7342
2006-01-01,0.7572
2006-02-01,0.7430
2006-03-01,0.7165
2006-04-01,0.7593
2006-05-01,0.7519
2006-06-01,0.7423
2006-07-01,0.7664
2006-08-01,0.7630
2006-09-01,0.7461
2006-10-01,0.7743
2006-11-01,0.7896
2006-12-01,0.7884
2007-01-01,0.7740
2007-02-01,0.7892
2007-03-01,0.8104
2007-04-01,0.8326
2007-05-01,0.8272
2007-06-01,0.8491
2007-07-01,0.8594
2007-08-01,0.8157
2007-09-01,0.8855
2007-10-01,0.9271
2007-11-01,0.8848
2007-12-01,0.8776
2008-01-01,0.8968
2008-02-01,0.9370
2008-03-01,0.9132
2008-04-01,0.9419
2008-05-01,0.9551
2008-06-01,0.9562
2008-07-01,0.9415
2008-08-01,0.8563
2008-09-01,0.7904
2008-10-01,0.6574
2008-11-01,0.6546
2008-12-01,0.6983
2009-01-01,0.6380
2009-02-01,0.6419
2009-03-01,0.6925
2009-04-01,0.7317
2009-05-01,0.7993
2009-06-01,0.8055
2009-07-01,0.8339
2009-08-01,0.8439
2009-09-01,0.8824
2009-10-01,0.9038
2009-11-01,0.9143
2009-12-01,0.8979
2010-01-01,0.8873
2010-02-01,0.8961
2010-03-01,0.9169
2010-04-01,0.9306
2010-05-01,0.8491
2010-06-01,0.8480
2010-07-01,0.9051
2010-08-01,0.8910
2010-09-01,0.9640
2010-10-01,0.9798
2010-11-01,0.9607
2010-12-01,1.0122
2011-01-01,0.9976
2011-02-01,1.0174
2011-03-01,1.0358
2011-04-01,1.0937
2011-05-01,1.0660
2011-06-01,1.0732
2011-07-01,1.1001
2011-08-01,1.0702
2011-09-01,0.9744
2011-10-01,1.0610
2011-11-01,1.0244
2011-12-01,1.0251
2012-01-01,1.0598
2012-02-01,1.0777
2012-03-01,1.0367
2012-04-01,1.0410
2012-05-01,0.9711
2012-06-01,1.0236
2012-07-01,1.0522
2012-08-01,1.0334
2012-09-01,1.0388
2012-10-01,1.0370
2012-11-01,1.0429
2012-12-01,1.0393
2013-01-01,1.0433
2013-02-01,1.0241
2013-03-01,1.0409
2013-04-01,1.0372
2013-05-01,0.9608
2013-06-01,0.9165
2013-07-01,0.8957
2013-08-01,0.8901
2013-09-01,0.9342
2013-10-01,0.9471
2013-11-01,0.9125
2013-12-01,0.8929
2014-01-01,0.8743
2014-02-01,0.8933
2014-03-01,0.9275
2014-04-01,0.9282
2014-05-01,0.9298
2014-06-01,0.9427
2014-07-01,0.9301
2014-08-01,0.9344
2014-09-01,0.8737
2014-10-01,0.8791
2014-11-01,0.8524
2014-12-01,0.8173
2015-01-01,0.7762
2015-02-01,0.7810
2015-03-01,0.7625
2015-04-01,0.7867
2015-05-01,0.7659
2015-06-01,0.7704
2015-07-01,0.7332
