observation_date,DEXUSUK
2002-01-01,1.4120
2002-02-01,1.4129
2002-03-01,1.4250
2002-04-01,1.4565
2002-05-01,1.4625
2002-06-01,1.5245
2002-07-01,1.5625
2002-08-01,1.5476
2002-09-01,1.5700
2002-10-01,1.5630
2002-11-01,1.5553
2002-12-01,1.6095
2003-01-01,1.6448
2003-02-01,1.5737
2003-03-01,1.5790
2003-04-01,1.6000
2003-05-01,1.6393
2003-06-01,1.6529
2003-07-01,1.6090
2003-08-01,1.5773
2003-09-01,1.6620
2003-10-01,1.6956
2003-11-01,1.7219
2003-12-01,1.7842
2004-01-01,1.8215
2004-02-01,1.8575
2004-03-01,1.8400
2004-04-01,1.7744
2004-05-01,1.8330
2004-06-01,1.8126
2004-07-01,1.8183
2004-08-01,1.8031
2004-09-01,1.8090
2004-10-01,1.8345
2004-11-01,1.9073
2004-12-01,1.9160
2005-01-01,1.8850
2005-02-01,1.9249
2005-03-01,1.8888
2005-04-01,1.9122
2005-05-01,1.8231
2005-06-01,1.7930
2005-07-01,1.7593
2005-08-01,1.8012
2005-09-01,1.7696
2005-10-01,1.7689
2005-11-01,1.7321
2005-12-01,1.7188
2006-01-01,1.7820
2006-02-01,1.7539
2006-03-01,1.7393
2006-04-01,1.8220
2006-05-01,1.8732
2006-06-01,1.8491
2006-07-01,1.8685
2006-08-01,1.9024
2006-09-01,1.8716
2006-10-01,1.9084
2006-11-01,1.9693
2006-12-01,1.9586
2007-01-01,1.9611
2007-02-01,1.9613
2007-03-01,1.9685
2007-04-01,2.0000
2007-05-01,1.9797
2007-06-01,2.0063
2007-07-01,2.0364
2007-08-01,2.0165
2007-09-01,2.0389
2007-10-01,2.0777
2007-11-01,2.0567
2007-12-01,1.9843
2008-01-01,1.9895
2008-02-01,1.9864
2008-03-01,1.9855
2008-04-01,1.9847
2008-05-01,1.9793
2008-06-01,1.9906
2008-07-01,1.9806
2008-08-01,1.8190
2008-09-01,1.7804
2008-10-01,1.6165
2008-11-01,1.5348
2008-12-01,1.4619
2009-01-01,1.4413
2009-02-01,1.4276
2009-03-01,1.4300
2009-04-01,1.4799
2009-05-01,1.6160
2009-06-01,1.6452
2009-07-01,1.6713
2009-08-01,1.6314
2009-09-01,1.6004
2009-10-01,1.6479
2009-11-01,1.6409
2009-12-01,1.6167
2010-01-01,1.6009
2010-02-01,1.5239
2010-03-01,1.5186
2010-04-01,1.5308
2010-05-01,1.4492
2010-06-01,1.4947
2010-07-01,1.5714
2010-08-01,1.5358
2010-09-01,1.5731
2010-10-01,1.6020
2010-11-01,1.5578
2010-12-01,1.5392
2011-01-01,1.6042
2011-02-01,1.6247
2011-03-01,1.6048
2011-04-01,1.6691
2011-05-01,1.6439
2011-06-01,1.6067
2011-07-01,1.6455
2011-08-01,1.6269
2011-09-01,1.5624
2011-10-01,1.6141
2011-11-01,1.5705
2011-12-01,1.5537
2012-01-01,1.5754
2012-02-01,1.5951
2012-03-01,1.5985
2012-04-01,1.6225
2012-05-01,1.5405
2012-06-01,1.5686
2012-07-01,1.5686
2012-08-01,1.5864
2012-09-01,1.6132
2012-10-01,1.6111
2012-11-01,1.6027
2012-12-01,1.6262
2013-01-01,1.5856
2013-02-01,1.5192
2013-03-01,1.5193
2013-04-01,1.5539
2013-05-01,1.5185
2013-06-01,1.5210
2013-07-01,1.5177
2013-08-01,1.5468
2013-09-01,1.6179
2013-10-01,1.6068
2013-11-01,1.6373
2013-12-01,1.6574
2014-01-01,1.6450
2014-02-01,1.6750
2014-03-01,1.6675
2014-04-01,1.6883
2014-05-01,1.6764
2014-06-01,1.7105
2014-07-01,1.6889
2014-08-01,1.6585
2014-09-01,1.6220
2014-10-01,1.5999
2014-11-01,1.5638
2014-12-01,1.5578
2015-01-01,1.5026
2015-02-01,1.5439
2015-03-01,1.4850
2015-04-01,1.5328
2015-05-01,1.5286
2015-06-01,1.5727
2015-07-01,1.5634
2015-08-01,1.5363
2015-09-01,1.5116
2015-10-01,1.5445
2015-11-01,1.5044
2015-12-01,1.4746
2016-01-01,1.4184
2016-02-01,1.3926
2016-03-01,1.4381
