observation_date,DEXSZUS
2002-01-01,1.7190
2002-02-01,1.7025
2002-03-01,1.6820
2002-04-01,1.6216
2002-05-01,1.5693
2002-06-01,1.4920
2002-07-01,1.4833
2002-08-01,1.5007
2002-09-01,1.4758
2002-10-01,1.4805
2002-11-01,1.4860
2002-12-01,1.3833
2003-01-01,1.3683
2003-02-01,1.3557
2003-03-01,1.3538
2003-04-01,1.3545
2003-05-01,1.3022
2003-06-01,1.3519
2003-07-01,1.3736
2003-08-01,1.4005
2003-09-01,1.3208
2003-10-01,1.3382
2003-11-01,1.2917
2003-12-01,1.2380
2004-01-01,1.2593
2004-02-01,1.2680
2004-03-01,1.2677
2004-04-01,1.2984
2004-05-01,1.2533
2004-06-01,1.2520
2004-07-01,1.2796
2004-08-01,1.2641
2004-09-01,1.2471
2004-10-01,1.1988
2004-11-01,1.1421
2004-12-01,1.1412
2005-01-01,1.1877
2005-02-01,1.1585
2005-03-01,1.1952
2005-04-01,1.1898
2005-05-01,1.2447
2005-06-01,1.2827
2005-07-01,1.2870
2005-08-01,1.2546
2005-09-01,1.2890
2005-10-01,1.2900
2005-11-01,1.3148
2005-12-01,1.3148
2006-01-01,1.2784
2006-02-01,1.3111
2006-03-01,1.3025
2006-04-01,1.2411
2006-05-01,1.2159
2006-06-01,1.2247
2006-07-01,1.2311
2006-08-01,1.2336
2006-09-01,1.2504
2006-10-01,1.2424
2006-11-01,1.1966
2006-12-01,1.2195
2007-01-01,1.2470
2007-02-01,1.2189
2007-03-01,1.2126
2007-04-01,1.2064
2007-05-01,1.2252
2007-06-01,1.2240
2007-07-01,1.2021
2007-08-01,1.2071
2007-09-01,1.1672
2007-10-01,1.1589
2007-11-01,1.1287
2007-12-01,1.1329
2008-01-01,1.0845
2008-02-01,1.0435
2008-03-01,0.9921
2008-04-01,1.0422
2008-05-01,1.0426
2008-06-01,1.0202
2008-07-01,1.0489
2008-08-01,1.1019
2008-09-01,1.1189
2008-10-01,1.1669
2008-11-01,1.2165
2008-12-01,1.0673
2009-01-01,1.1612
2009-02-01,1.1672
2009-03-01,1.1395
2009-04-01,1.1402
2009-05-01,1.0692
2009-06-01,1.0867
2009-07-01,1.0668
2009-08-01,1.0569
2009-09-01,1.0375
2009-10-01,1.0238
2009-11-01,1.0050
2009-12-01,1.0358
2010-01-01,1.0557
2010-02-01,1.0711
2010-03-01,1.0528
2010-04-01,1.0767
2010-05-01,1.1534
2010-06-01,1.0774
2010-07-01,1.0410
2010-08-01,1.0150
2010-09-01,0.9808
2010-10-01,0.9850
2010-11-01,0.9985
2010-12-01,0.9369
2011-01-01,0.9402
2011-02-01,0.9305
2011-03-01,0.9157
2011-04-01,0.8666
2011-05-01,0.8525
2011-06-01,0.8413
2011-07-01,0.7881
2011-08-01,0.8038
2011-09-01,0.9048
2011-10-01,0.8706
2011-11-01,0.9106
2011-12-01,0.9374
2012-01-01,0.9220
2012-02-01,0.9023
2012-03-01,0.9026
2012-04-01,0.9081
2012-05-01,0.9713
2012-06-01,0.9485
2012-07-01,0.9753
2012-08-01,0.9546
2012-09-01,0.9400
2012-10-01,0.9311
2012-11-01,0.9264
2012-12-01,0.9155
2013-01-01,0.9093
2013-02-01,0.9336
2013-03-01,0.9490
2013-04-01,0.9298
2013-05-01,0.9583
2013-06-01,0.9450
2013-07-01,0.9284
2013-08-01,0.9313
2013-09-01,0.9041
2013-10-01,0.9056
2013-11-01,0.9047
2013-12-01,0.8904
