fic,date,country,currency,mportret,mportretx
AUS,2002-01-31,AUSTRALIA,AUD,0.0273578567,0.0273132504
AUS,2002-02-28,AUSTRALIA,AUD,-0.001831939,-0.004357869
AUS,2002-03-28,AUSTRALIA,AUD,0.0051988097,-0.001914156
AUS,2002-04-30,AUSTRALIA,AUD,-0.014301977,-0.015424472
AUS,2002-05-31,AUSTRALIA,AUD,-0.000203786,-0.001751575
AUS,2002-06-27,AUSTRALIA,AUD,-0.026756329,-0.031932876
AUS,2002-07-31,AUSTRALIA,AUD,-0.037815643,-0.041947913
AUS,2002-08-30,AUSTRALIA,AUD,0.0162078658,0.012460989
AUS,2002-09-30,AUSTRALIA,AUD,-0.039544644,-0.04692225
AUS,2002-10-31,AUSTRALIA,AUD,0.0121258458,0.0093939529
AUS,2002-11-29,AUSTRALIA,AUD,-0.005521155,-0.010748586
AUS,2002-12-31,AUSTRALIA,AUD,-0.00994039,-0.01869581
AUS,2003-01-31,AUSTRALIA,AUD,-0.013979433,-0.014101981
AUS,2003-02-28,AUSTRALIA,AUD,-0.053112101,-0.056321638
AUS,2003-03-31,AUSTRALIA,AUD,0.0399954007,0.0194899874
AUS,2003-04-30,AUSTRALIA,AUD,0.045870042,0.0448148024
AUS,2003-05-30,AUSTRALIA,AUD,0.0050793478,0.0025919443
AUS,2003-06-30,AUSTRALIA,AUD,0.0183981572,0.0120014663
AUS,2003-07-31,AUSTRALIA,AUD,0.0355094094,0.0351104391
AUS,2003-08-29,AUSTRALIA,AUD,0.0283455013,0.0249028713
AUS,2003-09-30,AUSTRALIA,AUD,0.0076289675,-0.000917019
AUS,2003-10-31,AUSTRALIA,AUD,0.0350265379,0.0335724338
AUS,2003-11-28,AUSTRALIA,AUD,-0.015589866,-0.021342355
AUS,2003-12-31,AUSTRALIA,AUD,0.0359467907,0.029968726
AUS,2004-01-30,AUSTRALIA,AUD,-0.006855623,-0.006895505
AUS,2004-02-27,AUSTRALIA,AUD,0.0294588702,0.025792538
AUS,2004-03-31,AUSTRALIA,AUD,0.0227720561,0.0144008607
AUS,2004-04-30,AUSTRALIA,AUD,-0.008667442,-0.010069729
AUS,2004-05-31,AUSTRALIA,AUD,0.0115246291,0.0096515637
AUS,2004-06-30,AUSTRALIA,AUD,0.0317236488,0.0261635664
AUS,2004-07-30,AUSTRALIA,AUD,0.0084137245,0.0080965629
AUS,2004-08-31,AUSTRALIA,AUD,0.0205787036,0.0140422868
AUS,2004-09-30,AUSTRALIA,AUD,0.0362566414,0.0318170434
AUS,2004-10-29,AUSTRALIA,AUD,0.0373105076,0.0361806733
AUS,2004-11-30,AUSTRALIA,AUD,0.0462409294,0.0405898111
AUS,2004-12-31,AUSTRALIA,AUD,0.0263772667,0.0261909312
AUS,2005-01-31,AUSTRALIA,AUD,0.0196693677,0.0195023437
AUS,2005-02-28,AUSTRALIA,AUD,0.0229697128,0.0170804399
AUS,2005-03-31,AUSTRALIA,AUD,-0.008929421,-0.016747863
AUS,2005-04-29,AUSTRALIA,AUD,-0.032774395,-0.033722353
AUS,2005-05-31,AUSTRALIA,AUD,0.0270945598,0.0251491379
AUS,2005-06-30,AUSTRALIA,AUD,0.0453073861,0.0398722427
AUS,2005-07-28,AUSTRALIA,AUD,0.0046858575,0.004042325
AUS,2005-08-30,AUSTRALIA,AUD,0.0182033571,0.0126573083
AUS,2005-09-29,AUSTRALIA,AUD,0.0500135884,0.0418436168
AUS,2005-10-31,AUSTRALIA,AUD,-0.035356634,-0.036343825
