fic,date,country,currency,mportret,mportretx
CHE,2002-01-31,SWITZERLAND,CHF,-0.022126283,-0.02214605
CHE,2002-02-28,SWITZERLAND,CHF,0.0116607107,0.0116456861
CHE,2002-03-28,SWITZERLAND,CHF,0.0487594286,0.04556978
CHE,2002-04-30,SWITZERLAND,CHF,-0.004108601,-0.007961228
CHE,2002-05-31,SWITZERLAND,CHF,0.0029628768,-0.00063874
CHE,2002-06-28,SWITZERLAND,CHF,-0.081686973,-0.082069724
CHE,2002-07-31,SWITZERLAND,CHF,-0.132371446,-0.135335335
CHE,2002-08-30,SWITZERLAND,CHF,0.0050825332,0.0010024834
CHE,2002-09-30,SWITZERLAND,CHF,-0.089463422,-0.089811171
CHE,2002-10-31,SWITZERLAND,CHF,0.0303849245,0.0303685852
CHE,2002-11-29,SWITZERLAND,CHF,0.0379362198,0.0379362198
CHE,2002-12-30,SWITZERLAND,CHF,-0.085846747,-0.08589302
CHE,2003-01-31,SWITZERLAND,CHF,-0.050124041,-0.050124041
CHE,2003-02-28,SWITZERLAND,CHF,-0.052777599,-0.052910212
CHE,2003-03-31,SWITZERLAND,CHF,-0.008524093,-0.013418893
CHE,2003-04-30,SWITZERLAND,CHF,0.1207559097,0.1097605174
CHE,2003-05-30,SWITZERLAND,CHF,0.0088827503,0.0050413537
CHE,2003-06-30,SWITZERLAND,CHF,0.0357911908,0.0354854981
CHE,2003-07-31,SWITZERLAND,CHF,0.048223765,0.0477964827
CHE,2003-08-29,SWITZERLAND,CHF,0.0211396601,0.0201782894
CHE,2003-09-30,SWITZERLAND,CHF,-0.015186229,-0.015569995
CHE,2003-10-31,SWITZERLAND,CHF,0.041996627,0.0419813535
CHE,2003-11-28,SWITZERLAND,CHF,0.0178165,0.0177891917
CHE,2003-12-30,SWITZERLAND,CHF,0.0264364544,0.0263858786
CHE,2004-01-30,SWITZERLAND,CHF,0.0489080901,0.0489080901
CHE,2004-02-27,SWITZERLAND,CHF,0.0155280607,0.0118732119
CHE,2004-03-31,SWITZERLAND,CHF,-0.024403456,-0.024608723
CHE,2004-04-30,SWITZERLAND,CHF,0.0302479372,0.0200252916
CHE,2004-05-28,SWITZERLAND,CHF,-0.021971343,-0.023964913
CHE,2004-06-30,SWITZERLAND,CHF,0.0070524104,0.0064241629
CHE,2004-07-30,SWITZERLAND,CHF,-0.019916952,-0.021678412
CHE,2004-08-31,SWITZERLAND,CHF,-0.016792859,-0.01710073
CHE,2004-09-30,SWITZERLAND,CHF,0.0074893067,0.0070604859
CHE,2004-10-29,SWITZERLAND,CHF,-0.012578415,-0.01259728
CHE,2004-11-30,SWITZERLAND,CHF,0.0194465937,0.0194465937
CHE,2004-12-30,SWITZERLAND,CHF,0.0389182564,0.0389182564
CHE,2005-01-31,SWITZERLAND,CHF,0.0240910112,0.0240910112
CHE,2005-02-28,SWITZERLAND,CHF,0.0349908403,0.0349054293
CHE,2005-03-31,SWITZERLAND,CHF,-0.003293761,-0.007480121
CHE,2005-04-29,SWITZERLAND,CHF,-0.013589901,-0.023518931
CHE,2005-05-31,SWITZERLAND,CHF,0.0383905143,0.0337859156
CHE,2005-06-30,SWITZERLAND,CHF,0.0215269862,0.0209315126
CHE,2005-07-29,SWITZERLAND,CHF,0.0539923663,0.0526201459
CHE,2005-08-31,SWITZERLAND,CHF,-0.009147632,-0.009615645
CHE,2005-09-30,SWITZERLAND,CHF,0.0609091286,0.0598218164
