mktrf,rf,dateff
-0.047400,0.00410,2000-01-31
0.024500,0.00430,2000-02-29
0.052000,0.00470,2000-03-31
-0.064000,0.00460,2000-04-28
-0.044200,0.00500,2000-05-31
0.046400,0.00400,2000-06-30
-0.025100,0.00480,2000-07-31
0.070300,0.00500,2000-08-31
-0.054500,0.00510,2000-09-29
-0.027600,0.00560,2000-10-31
-0.107200,0.00510,2000-11-30
0.011900,0.00500,2000-12-29
0.031300,0.00540,2001-01-31
-0.100500,0.00380,2001-02-28
-0.072600,0.00420,2001-03-30
0.079400,0.00390,2001-04-30
0.007200,0.00320,2001-05-31
-0.019400,0.00280,2001-06-29
-0.021300,0.00300,2001-07-31
-0.064600,0.00310,2001-08-31
-0.092500,0.00280,2001-09-28
0.024600,0.00220,2001-10-31
0.075400,0.00170,2001-11-30
0.016000,0.00150,2001-12-31
-0.014400,0.00140,2002-01-31
-0.022900,0.00130,2002-02-28
0.042400,0.00130,2002-03-28
-0.052000,0.00150,2002-04-30
-0.013800,0.00140,2002-05-31
-0.072100,0.00130,2002-06-28
-0.081800,0.00150,2002-07-31
0.005000,0.00140,2002-08-30
-0.103500,0.00140,2002-09-30
0.078400,0.00140,2002-10-31
0.059600,0.00120,2002-11-29
-0.057600,0.00110,2002-12-31
-0.025700,0.00100,2003-01-31
-0.018800,0.00090,2003-02-28
0.010900,0.00100,2003-03-31
0.082200,0.00100,2003-04-30
0.060500,0.00090,2003-05-30
0.014200,0.00100,2003-06-30
0.023500,0.00070,2003-07-31
0.023400,0.00070,2003-08-29
-0.012400,0.00080,2003-09-30
0.060800,0.00070,2003-10-31
0.013500,0.00070,2003-11-28
0.042900,0.00080,2003-12-31
0.021500,0.00070,2004-01-30
0.014000,0.00060,2004-02-27
-0.013200,0.00090,2004-03-31
-0.018300,0.00080,2004-04-30
0.011700,0.00060,2004-05-28
0.018600,0.00080,2004-06-30
-0.040600,0.00100,2004-07-30
0.000800,0.00110,2004-08-31
0.016000,0.00110,2004-09-30
0.014300,0.00110,2004-10-29
0.045400,0.00150,2004-11-30
0.034300,0.00160,2004-12-31
-0.027600,0.00160,2005-01-31
0.018900,0.00160,2005-02-28
-0.019700,0.00210,2005-03-31
-0.026100,0.00210,2005-04-29
0.036500,0.00240,2005-05-31
0.005700,0.00230,2005-06-30
0.039200,0.00240,2005-07-29
-0.012200,0.00300,2005-08-31
0.004900,0.00290,2005-09-30
-0.020200,0.00270,2005-10-31
0.036100,0.00310,2005-11-30
-0.002500,0.00320,2005-12-30
0.030400,0.00350,2006-01-31
-0.003000,0.00340,2006-02-28
0.014600,0.00370,2006-03-31
0.007300,0.00360,2006-04-28
-0.035700,0.00430,2006-05-31
-0.003500,0.00400,2006-06-30
-0.007800,0.00400,2006-07-31
0.020300,0.00420,2006-08-31
0.018400,0.00410,2006-09-29
0.032300,0.00410,2006-10-31
0.017100,0.00420,2006-11-30
0.008700,0.00400,2006-12-29
0.014000,0.00440,2007-01-31
-0.019600,0.00380,2007-02-28
0.006800,0.00430,2007-03-30
0.034900,0.00440,2007-04-30
0.032400,0.00410,2007-05-31
-0.019600,0.00400,2007-06-29
-0.037300,0.00400,2007-07-31
0.009200,0.00420,2007-08-31
0.032200,0.00320,2007-09-28
0.018000,0.00320,2007-10-31
-0.048300,0.00340,2007-11-30
-0.008700,0.00270,2007-12-31
-0.063600,0.00210,2008-01-31
-0.030900,0.00130,2008-02-29
-0.009300,0.00170,2008-03-31
0.046000,0.00180,2008-04-30
0.018600,0.00180,2008-05-30
-0.084400,0.00170,2008-06-30
-0.007700,0.00150,2008-07-31
0.015300,0.00130,2008-08-29
-0.092400,0.00150,2008-09-30
-0.172300,0.00080,2008-10-31
-0.078600,0.00030,2008-11-28
0.017400,0.00000,2008-12-31
-0.081200,0.00000,2009-01-30
-0.101000,0.00010,2009-02-27
0.089500,0.00020,2009-03-31
0.101800,0.00010,2009-04-30
0.052100,0.00000,2009-05-29
0.004300,0.00010,2009-06-30
0.077200,0.00010,2009-07-31
0.033300,0.00010,2009-08-31
0.040800,0.00010,2009-09-30
-0.025900,0.00000,2009-10-30
0.055600,0.00000,2009-11-30
0.027500,0.00010,2009-12-31
-0.033600,0.00000,2010-01-29
0.034000,0.00000,2010-02-26
0.063100,0.00010,2010-03-31
0.020000,0.00010,2010-04-30
-0.078900,0.00010,2010-05-28
-0.055700,0.00010,2010-06-30
0.069300,0.00010,2010-07-30
-0.047700,0.00010,2010-08-31
0.095400,0.00010,2010-09-30
0.038800,0.00010,2010-10-29
0.006000,0.00010,2010-11-30
0.068200,0.00010,2010-12-31
0.019900,0.00010,2011-01-31
0.034900,0.00010,2011-02-28
0.004600,0.00010,2011-03-31
0.029000,0.00000,2011-04-29
-0.012700,0.00000,2011-05-31
-0.017500,0.00000,2011-06-30
-0.023500,0.00000,2011-07-29
-0.059900,0.00010,2011-08-31
-0.075900,0.00000,2011-09-30
0.113500,0.00000,2011-10-31
-0.002800,0.00000,2011-11-30
0.007400,0.00000,2011-12-30
0.050500,0.00000,2012-01-31
0.044200,0.00000,2012-02-29
0.031100,0.00000,2012-03-30
-0.008500,0.00000,2012-04-30
-0.061900,0.00010,2012-05-31
0.038900,0.00000,2012-06-29
0.007900,0.00000,2012-07-31
0.025500,0.00010,2012-08-31
0.027300,0.00010,2012-09-28
-0.017600,0.00010,2012-10-31
0.007800,0.00010,2012-11-30
0.011800,0.00010,2012-12-31
0.055700,0.00000,2013-01-31
0.012900,0.00000,2013-02-28
0.040300,0.00000,2013-03-28
0.015500,0.00000,2013-04-30
0.028000,0.00000,2013-05-31
-0.012000,0.00000,2013-06-28
0.056500,0.00000,2013-07-31
-0.027100,0.00000,2013-08-30
0.037700,0.00000,2013-09-30
0.041800,0.00000,2013-10-31
0.031300,0.00000,2013-11-29
0.028100,0.00000,2013-12-31
-0.033200,0.00000,2014-01-31
0.046500,0.00000,2014-02-28
0.004300,0.00000,2014-03-31
-0.001900,0.00000,2014-04-30
0.020600,0.00000,2014-05-30
0.026100,0.00000,2014-06-30
-0.020400,0.00000,2014-07-31
0.042400,0.00000,2014-08-29
-0.019700,0.00000,2014-09-30
0.025200,0.00000,2014-10-31
0.025500,0.00000,2014-11-28
-0.000600,0.00000,2014-12-31
-0.031100,0.00000,2015-01-30
0.061300,0.00000,2015-02-27
-0.011200,0.00000,2015-03-31
0.005900,0.00000,2015-04-30
0.013600,0.00000,2015-05-29
-0.015300,0.00000,2015-06-30
0.015400,0.00000,2015-07-31
-0.060400,0.00000,2015-08-31
-0.030700,0.00000,2015-09-30
0.077500,0.00000,2015-10-30
0.005700,0.00000,2015-11-30
-0.021700,0.00010,2015-12-31
-0.057700,0.00010,2016-01-29
-0.000700,0.00020,2016-02-29
0.069600,0.00020,2016-03-31
0.009100,0.00010,2016-04-29
0.017800,0.00010,2016-05-31
-0.000500,0.00020,2016-06-30
0.039500,0.00020,2016-07-29
0.004900,0.00020,2016-08-31
0.002500,0.00020,2016-09-30
-0.020200,0.00020,2016-10-31
0.048600,0.00010,2016-11-30
0.018200,0.00030,2016-12-30
0.019400,0.00040,2017-01-31
0.035700,0.00040,2017-02-28
0.001700,0.00030,2017-03-31
0.010900,0.00050,2017-04-28
0.010600,0.00060,2017-05-31
0.007800,0.00060,2017-06-30
0.018700,0.00070,2017-07-31
0.001600,0.00090,2017-08-31
0.025100,0.00090,2017-09-29
0.022500,0.00090,2017-10-31
0.031200,0.00080,2017-11-30
0.010600,0.00090,2017-12-29
0.055700,0.00120,2018-01-31
-0.036500,0.00110,2018-02-28
-0.023500,0.00110,2018-03-29
0.002900,0.00140,2018-04-30
0.026500,0.00140,2018-05-31
0.004800,0.00140,2018-06-29
0.031900,0.00160,2018-07-31
0.034400,0.00160,2018-08-31
0.000600,0.00150,2018-09-28
-0.076800,0.00190,2018-10-31
0.016900,0.00180,2018-11-30
-0.095700,0.00200,2018-12-31
0.084000,0.00210,2019-01-31
0.034000,0.00180,2019-02-28
0.011000,0.00190,2019-03-29
0.039700,0.00210,2019-04-30
-0.069400,0.00210,2019-05-31
0.069300,0.00180,2019-06-28
0.011900,0.00190,2019-07-31
-0.025800,0.00160,2019-08-30
0.014300,0.00180,2019-09-30
0.020600,0.00160,2019-10-31
0.038800,0.00120,2019-11-29
0.027700,0.00140,2019-12-31
-0.001100,0.00130,2020-01-31
-0.081300,0.00120,2020-02-28
-0.133900,0.00130,2020-03-31
0.136500,0.00000,2020-04-30
0.055800,0.00010,2020-05-29
0.024600,0.00010,2020-06-30
0.057700,0.00010,2020-07-31
0.076300,0.00010,2020-08-31
-0.036300,0.00010,2020-09-30
-0.021000,0.00010,2020-10-30
0.124700,0.00010,2020-11-30
0.046300,0.00010,2020-12-31
-0.000300,0.00010,2021-01-29
0.027800,0.00000,2021-02-26
0.030800,0.00000,2021-03-31
0.049300,0.00000,2021-04-30
0.002900,0.00000,2021-05-28
0.027500,0.00000,2021-06-30
0.012700,0.00000,2021-07-30
0.029100,0.00000,2021-08-31
-0.043700,0.00000,2021-09-30
0.066500,0.00000,2021-10-29
-0.015500,0.00000,2021-11-30
0.031000,0.00010,2021-12-31
-0.062500,0.00000,2022-01-31
-0.022900,0.00000,2022-02-28
0.030600,0.00010,2022-03-31
-0.094600,0.00010,2022-04-29
-0.003400,0.00030,2022-05-31
-0.084400,0.00060,2022-06-30
0.095700,0.00080,2022-07-29
-0.037700,0.00190,2022-08-31
-0.093500,0.00190,2022-09-30
0.078300,0.00230,2022-10-31
0.046100,0.00290,2022-11-30
-0.064100,0.00330,2022-12-30
0.066400,0.00350,2023-01-31
-0.025900,0.00340,2023-02-28
0.025100,0.00360,2023-03-31
