caldt,vwretd
2002-01-31,-0.015966
2002-02-28,-0.021700
2002-03-28,0.044698
2002-04-30,-0.049600
2002-05-31,-0.010510
2002-06-28,-0.070259
2002-07-31,-0.081125
2002-08-30,0.007949
2002-09-30,-0.099923
2002-10-31,0.074940
2002-11-29,0.061282
2002-12-31,-0.053334
2003-01-31,-0.023367
2003-02-28,-0.015417
2003-03-31,0.010321
2003-04-30,0.082768
2003-05-30,0.063471
2003-06-30,0.016346
2003-07-31,0.023112
2003-08-29,0.024965
2003-09-30,-0.009120
2003-10-31,0.060361
2003-11-28,0.016594
2003-12-31,0.045476
2004-01-30,0.023042
2004-02-27,0.015443
2004-03-31,-0.010662
2004-04-30,-0.024222
2004-05-28,0.014068
2004-06-30,0.021611
2004-07-30,-0.037698
2004-08-31,0.002703
2004-09-30,0.020556
2004-10-29,0.017806
2004-11-30,0.048214
2004-12-31,0.035170
2005-01-31,-0.026546
2005-02-28,0.022646
2005-03-31,-0.016944
2005-04-29,-0.025206
2005-05-31,0.037954
2005-06-30,0.011529
2005-07-29,0.043357
2005-08-31,-0.005958
2005-09-30,0.010600
2005-10-31,-0.020866
2005-11-30,0.040326
2005-12-30,0.003458
2006-01-31,0.040072
2006-02-28,-0.001639
2006-03-31,0.019065
2006-04-28,0.012999
2006-05-31,-0.031026
2006-06-30,-0.000374
2006-07-31,-0.001906
2006-08-31,0.025056
2006-09-29,0.019444
2006-10-31,0.037125
2006-11-30,0.023755
2006-12-29,0.010850
2007-01-31,0.019386
2007-02-28,-0.014023
2007-03-30,0.012955
2007-04-30,0.039864
2007-05-31,0.038937
2007-06-29,-0.014717
2007-07-31,-0.031760
2007-08-31,0.011588
2007-09-28,0.040875
2007-10-31,0.025923
2007-11-30,-0.049415
2007-12-31,-0.004288
2008-01-31,-0.062356
2008-02-29,-0.022002
2008-03-31,-0.010401
2008-04-30,0.051221
2008-05-30,0.023992
2008-06-30,-0.078606
2008-07-31,-0.013285
2008-08-29,0.011155
2008-09-30,-0.098318
2008-10-31,-0.184868
2008-11-28,-0.085405
2008-12-31,0.021629
2009-01-30,-0.077633
2009-02-27,-0.101076
2009-03-31,0.087789
2009-04-30,0.110657
2009-05-29,0.067336
2009-06-30,-0.002681
2009-07-31,0.082547
2009-08-31,0.031998
2009-09-30,0.045295
2009-10-30,-0.028492
2009-11-30,0.057365
2009-12-31,0.029220
2010-01-29,-0.037197
2010-02-26,0.035324
2010-03-31,0.064493
2010-04-30,0.020269
2010-05-28,-0.080029
2010-06-30,-0.052050
2010-07-30,0.071217
2010-08-31,-0.043909
2010-09-30,0.092625
2010-10-29,0.039020
2010-11-30,0.005620
2010-12-31,0.067911
2011-01-31,0.020235
2011-02-28,0.038646
2011-03-31,0.002869
2011-04-29,0.028151
2011-05-31,-0.014681
2011-06-30,-0.018536
2011-07-29,-0.023595
2011-08-31,-0.058632
2011-09-30,-0.084419
2011-10-31,0.115519
2011-11-30,-0.006179
2011-12-30,0.004856
2012-01-31,0.053970
2012-02-29,0.042064
2012-03-30,0.025306
2012-04-30,-0.006855
2012-05-31,-0.065899
2012-06-29,0.038476
2012-07-31,0.010375
2012-08-31,0.026644
2012-09-28,0.026586
2012-10-31,-0.014328
2012-11-30,0.006256
2012-12-31,0.012355
2013-01-31,0.055856
2013-02-28,0.009126
2013-03-28,0.036332
2013-04-30,0.015282
2013-05-31,0.021002
2013-06-28,-0.014302
2013-07-31,0.053532
2013-08-30,-0.026081
2013-09-30,0.037676
2013-10-31,0.040460
2013-11-29,0.025943
2013-12-31,0.026929
2014-01-31,-0.030092
2014-02-28,0.046472
2014-03-31,0.004575
2014-04-30,0.001407
2014-05-30,0.020539
2014-06-30,0.028292
2014-07-31,-0.020704
2014-08-29,0.041016
2014-09-30,-0.024776
2014-10-31,0.021431
2014-11-28,0.021750
2014-12-31,-0.003325
2015-01-30,-0.028454
2015-02-27,0.057119
2015-03-31,-0.010504
2015-04-30,0.008592
2015-05-29,0.010735
2015-06-30,-0.019165
2015-07-31,0.012777
2015-08-31,-0.060433
2015-09-30,-0.034271
2015-10-30,0.075022
2015-11-30,0.002673
2015-12-31,-0.022286
2016-01-29,-0.058175
2016-02-29,0.000678
2016-03-31,0.071243
2016-04-29,0.011615
2016-05-31,0.015057
2016-06-30,0.002266
2016-07-29,0.039319
2016-08-31,0.003164
2016-09-30,0.002917
2016-10-31,-0.021681
2016-11-30,0.042630
2016-12-30,0.018966
2017-01-31,0.022336
2017-02-28,0.033241
2017-03-31,0.001911
2017-04-28,0.009677
2017-05-31,0.009309
2017-06-30,0.009825
2017-07-31,0.020376
2017-08-31,0.001488
2017-09-29,0.024192
2017-10-31,0.019546
2017-11-30,0.027873
2017-12-29,0.012083
2018-01-31,0.051348
2018-02-28,-0.039484
2018-03-29,-0.019197
2018-04-30,0.004923
2018-05-31,0.027215
2018-06-29,0.006041
2018-07-31,0.032083
2018-08-31,0.031530
2018-09-28,0.000501
2018-10-31,-0.074757
2018-11-30,0.018613
2018-12-31,-0.091659
2019-01-31,0.089342
2019-02-28,0.033401
2019-03-29,0.013176
2019-04-30,0.038750
2019-05-31,-0.062520
2019-06-28,0.067923
2019-07-31,0.012354
2019-08-30,-0.020849
2019-09-30,0.016067
2019-10-31,0.019237
2019-11-29,0.036130
2019-12-31,0.028425
2020-01-31,-0.001066
2020-02-28,-0.078865
2020-03-31,-0.142565
2020-04-30,0.132193
2020-05-29,0.054521
2020-06-30,0.025618
2020-07-31,0.055893
2020-08-31,0.070445
2020-09-30,-0.035550
2020-10-30,-0.020727
2020-11-30,0.126002
2020-12-31,0.045194
2021-01-29,-0.000683
2021-02-26,0.029661
2021-03-31,0.030917
2021-04-30,0.049106
2021-05-28,0.006574
2021-06-30,0.024485
2021-07-30,0.012310
2021-08-31,0.027787
2021-09-30,-0.042671
2021-10-29,0.065942
2021-11-30,-0.018305
2021-12-31,0.033096
2022-01-31,-0.061046
2022-02-28,-0.022297
2022-03-31,0.031486
2022-04-29,-0.090973
2022-05-31,-0.002795
2022-06-30,-0.084927
2022-07-29,0.092530
2022-08-31,-0.036383
2022-09-30,-0.092081
2022-10-31,0.078669
2022-11-30,0.051431
2022-12-30,-0.058719
2023-01-31,0.072770
2023-02-28,-0.024151
2023-03-31,0.024496
2023-04-28,0.009039
2023-05-31,0.002027
2023-06-30,0.067582
2023-07-31,0.035842
2023-08-31,-0.020304
2023-09-29,-0.048003
2023-10-31,-0.029223
2023-11-30,0.093353
2023-12-29,0.053918
2024-01-31,0.008371
2024-02-29,0.051741
2024-03-28,0.032358
2024-04-30,-0.043350
2024-05-31,0.047203
2024-06-28,0.027186
2024-07-31,0.019348
2024-08-30,0.022021
2024-09-30,0.021040
2024-10-31,-0.007766
2024-11-29,0.066560
2024-12-31,-0.031325
